,pos,smote,pos-smote
S_S75_AVG_CLAIM,0.786,0.8098888888888889,-0.02388888888888885
S_S67_AVG_CLAIM,0.775,0.7657777777777778,0.009222222222222243
S_S34_AVG_CLAIM,0.935,0.9376666666666666,-0.002666666666666595
S_S66_AVG_CLAIM,0.87,0.8741111111111111,-0.004111111111111065
S_S73_AVG_CLAIM,0.883,0.8798888888888889,0.0031111111111110645
S_S76_AVG_CLAIM,0.903,0.9057777777777778,-0.002777777777777768
S_S38_AVG_CLAIM,0.956,0.9573333333333334,-0.0013333333333334085
S_S49_AVG_CLAIM,0.82,0.8118888888888889,0.008111111111111069
S_S65_AVG_CLAIM,0.894,0.8998888888888888,-0.0058888888888888324
S_S70_AVG_CLAIM,0.887,0.8594444444444445,0.027555555555555555
S_S19_AVG_CLAIM,0.841,0.8455555555555555,-0.004555555555555535
S_S69_AVG_CLAIM,0.915,0.9078888888888889,0.007111111111111179
S_S25_AVG_CLAIM,0.775,0.7822222222222223,-0.007222222222222241
S_S55_AVG_CLAIM,0.872,0.8831111111111111,-0.011111111111111072
S_S82_AVG_CLAIM,0.875,0.8793333333333333,-0.0043333333333333
S_S26_AVG_CLAIM,0.952,0.9517777777777777,0.00022222222222223476
S_S39_AVG_CLAIM,0.924,0.9274444444444444,-0.003444444444444361
S_S52_AVG_CLAIM,0.934,0.9432222222222222,-0.009222222222222132
S_S64_AVG_CLAIM,0.897,0.8822222222222222,0.014777777777777779
S_S83_AVG_CLAIM,0.849,0.8251111111111111,0.02388888888888885
S_S02_AVG_CLAIM,0.96,0.9604444444444444,-0.0004444444444444695
S_S42_AVG_CLAIM,0.854,0.8402222222222222,0.013777777777777778
S_S30_AVG_CLAIM,0.972,0.9741111111111111,-0.0021111111111111747
S_S12_AVG_CLAIM,0.939,0.9387777777777778,0.00022222222222212373
S_S29_AVG_CLAIM,0.981,0.9816666666666667,-0.0006666666666667043
